iter,wins,losses,draws,y,elapsed_sec,theta_RazorBase,theta_RazorDepth,theta_RfpBase,theta_RfpImproving,theta_NmpBase,theta_NmpEvalDiv,theta_FpBase,theta_FpDepth,theta_SeeCaptureCoef,theta_SeeQuietCoef,theta_LmrBase,theta_LmrDivisor,theta_TempoMg,theta_ThreatByPawnMg,theta_ThreatByPawnEg,theta_HangingMg,theta_HangingEg,theta_SafePawnPushMg,theta_SafePawnPushEg,theta_RookOn7thBonusEg
0,1,7,4,-0.5000,72.19,295,255,295,141,3,475,246,198,46,117,77,221,27,172,121,33,0,57,33,42
1,5,3,4,0.1667,85.37,293,257,293,140,3,472,244,196,45,116,78,220,26,170,119,34,0,56,34,41
2,1,5,6,-0.3333,74.18,297,253,289,143,3,478,240,200,46,113,79,223,28,174,123,31,0,59,31,38
3,6,0,6,0.5000,70.24,291,247,283,148,3,487,246,194,48,108,81,228,25,168,117,26,5,64,36,43
4,6,4,2,0.1667,89.62,289,249,281,146,3,490,248,192,47,110,80,226,24,166,115,24,3,66,38,41
5,4,6,2,-0.1667,70.54,291,251,279,148,3,487,250,194,46,112,81,228,25,164,113,26,5,68,36,43
6,4,4,4,0.0000,81.59,291,251,279,148,3,487,250,194,46,112,81,228,25,164,113,26,5,68,36,43
7,3,5,4,-0.1667,85.67,289,249,281,150,3,484,252,192,45,110,82,226,26,162,115,28,7,70,34,45
8,1,3,8,-0.1667,73.41,287,251,279,152,3,481,254,194,44,112,81,228,27,160,113,26,9,68,36,47
9,5,3,4,0.1667,91.30,289,249,277,151,3,484,256,196,43,111,80,229,26,162,111,27,8,69,37,48
10,1,7,4,-0.5000,77.20,283,255,283,147,3,493,262,202,41,115,82,225,29,156,117,23,4,73,33,52
11,6,2,4,0.3333,69.12,279,259,287,150,3,487,258,198,42,112,81,228,31,160,113,26,7,76,30,49
12,4,2,6,0.1667,87.21,277,261,289,151,3,484,256,200,43,111,80,229,30,162,115,25,8,77,29,50
13,5,3,4,0.1667,84.22,279,259,291,150,3,481,254,198,42,110,79,230,31,164,117,24,7,76,30,51
14,4,5,3,-0.0833,86.23,278,260,292,151,3,480,255,199,42,111,79,229,32,163,116,23,6,77,29,52
15,4,6,2,-0.1667,73.17,276,258,294,150,3,483,257,201,41,110,80,230,31,161,118,22,5,78,30,51
16,4,3,5,0.0833,101.33,277,257,295,149,3,482,256,202,41,111,80,229,30,162,119,21,4,79,29,52
17,3,2,7,0.0833,92.27,276,256,294,148,3,481,255,201,41,112,80,230,29,163,118,20,5,80,30,53
18,4,4,4,0.0000,87.24,276,256,294,148,3,481,255,201,41,112,80,230,29,163,118,20,5,80,30,53
19,6,4,2,0.1667,78.20,274,254,292,147,3,484,253,199,40,113,79,229,28,161,120,19,4,79,31,52
20,5,3,4,0.1667,92.37,272,256,290,146,3,481,251,197,39,112,78,228,29,163,122,18,3,80,30,51
21,5,3,4,0.1667,78.58,274,254,288,145,3,484,253,199,38,113,77,227,28,161,120,19,2,81,29,50
22,5,5,2,0.0000,69.51,274,254,288,145,3,484,253,199,38,113,77,227,28,161,120,19,2,81,29,50
23,5,5,2,0.0000,77.19,274,254,288,145,3,484,253,199,38,113,77,227,28,161,120,19,2,81,29,50
24,3,4,5,-0.0833,84.23,275,255,289,146,3,485,254,198,38,112,77,226,27,160,119,18,3,82,28,51
25,5,3,4,0.1667,84.22,277,253,287,145,3,482,252,200,37,111,76,225,26,158,117,19,2,83,27,50
26,4,2,6,0.1667,67.29,279,255,285,144,3,479,250,202,36,110,75,224,27,156,115,18,1,82,26,49
27,3,5,4,-0.1667,77.53,277,257,287,143,3,476,248,200,35,111,74,223,28,154,113,17,0,83,25,48
28,3,3,6,0.0000,71.49,277,257,287,143,3,476,248,200,35,111,74,223,28,154,113,17,0,83,25,48
29,5,3,4,0.1667,87.70,279,259,285,142,3,473,250,198,34,110,75,222,27,156,115,18,0,82,24,47
30,5,3,4,0.1667,96.74,277,257,287,141,3,476,248,200,33,111,74,221,28,158,117,19,1,83,25,46
31,2,5,5,-0.2500,104.75,279,259,285,143,3,480,246,202,32,113,73,219,27,156,119,21,0,81,27,44
32,4,3,5,0.0833,93.64,278,260,284,142,3,481,245,201,32,114,73,218,27,155,118,22,0,82,28,43
33,5,3,4,0.1667,83.62,276,262,286,141,3,484,243,199,33,113,72,219,28,157,120,23,0,83,29,44
34,2,8,2,-0.5000,88.68,281,267,281,137,3,492,238,204,35,117,70,215,25,152,125,19,4,87,33,48
35,2,5,5,-0.2500,83.61,279,265,279,135,3,488,236,206,36,119,71,213,24,150,123,21,6,89,35,46
36,4,5,3,-0.0833,74.51,280,264,280,134,3,487,237,205,36,120,71,214,24,149,122,22,5,88,36,47
37,4,3,5,0.0833,79.64,281,265,279,133,3,486,236,204,36,119,71,213,24,150,123,23,6,89,37,46
38,5,2,5,0.2500,85.36,283,267,281,135,3,482,234,206,35,121,72,215,23,152,121,21,4,87,35,44
39,5,4,3,0.0833,88.27,284,268,282,134,3,483,233,207,35,120,72,216,23,153,120,22,5,88,36,45
40,4,4,4,0.0000,73.16,284,268,282,134,3,483,233,207,35,120,72,216,23,153,120,22,5,88,36,45
41,3,4,5,-0.0833,97.27,283,267,281,135,3,482,232,208,35,119,72,217,23,152,119,23,4,89,35,46
42,6,3,3,0.2500,74.24,281,265,283,133,3,486,234,206,36,121,73,215,22,150,117,21,2,87,33,44
43,3,7,2,-0.3333,71.24,284,268,286,131,3,481,231,209,37,119,72,213,24,147,114,19,4,89,31,42
44,2,3,7,-0.0833,91.26,285,267,285,132,3,482,230,208,37,118,72,212,24,146,113,20,5,88,32,41
45,4,3,5,0.0833,80.30,286,268,286,133,3,483,229,207,37,119,72,213,24,145,114,21,4,89,31,42
46,4,4,4,0.0000,79.18,286,268,286,133,3,483,229,207,37,119,72,213,24,145,114,21,4,89,31,42
47,5,2,5,0.2500,69.17,284,270,288,131,3,487,227,209,38,117,71,215,25,143,112,19,2,87,29,40
48,4,5,3,-0.0833,81.20,285,269,287,130,3,488,228,210,38,118,71,216,25,142,111,20,1,86,28,41
49,6,4,2,0.1667,83.22,284,270,286,129,3,490,229,211,39,119,70,217,26,141,110,19,2,87,27,40
50,5,2,5,0.2500,76.15,282,268,284,131,3,493,231,213,40,121,69,215,25,139,112,21,0,85,29,42
51,4,5,3,-0.0833,72.19,283,269,283,132,3,494,232,212,40,120,69,214,25,140,111,22,0,84,30,41
52,7,2,3,0.4167,72.19,287,273,287,135,3,488,228,216,39,123,68,217,23,144,107,19,0,81,27,44
53,5,0,7,0.4167,69.15,283,269,291,138,3,494,232,220,40,120,69,220,21,148,111,16,0,84,30,41
54,5,4,3,0.0833,64.15,284,268,290,137,3,493,231,221,40,119,69,219,21,147,112,15,0,85,29,42
55,2,3,7,-0.0833,81.23,285,269,289,138,3,492,232,222,40,120,69,220,21,148,113,14,0,84,30,41
56,5,3,4,0.1667,69.18,286,268,290,139,3,490,233,223,41,121,68,221,22,147,112,13,0,83,31,40
57,3,5,4,-0.1667,76.31,285,269,291,138,3,492,232,224,40,122,69,222,23,146,111,14,0,84,30,41
58,5,0,7,0.4167,84.63,288,266,288,141,3,498,235,221,39,125,68,225,21,149,108,17,3,81,27,38
